s,I
0.0,-0.15
5.005005005005005e-5,-0.1462812777784486
0.0001001001001001001,-0.14263184415076896
0.00015015015015015014,-0.13905055095320898
0.0002002002002002002,-0.13553626786255332
0.00025025025025025025,-0.13208788212997208
0.0003003003003003003,-0.12870429831873
0.0003503503503503503,-0.12538443804570112
0.0004004004004004004,-0.12212723972663528
0.00045045045045045046,-0.11893165832512237
0.0005005005005005005,-0.11579666510520273
0.0005505505505505506,-0.1127212473875709
0.0006006006006006006,-0.1097044083093222
0.0006506506506506507,-0.10674516658719155
0.0007007007007007007,-0.10384255628423475
0.0007507507507507507,-0.10099562657990337
0.0008008008008008008,-0.09820344154346482
0.0008508508508508508,-0.09546507991071995
0.0009009009009009009,-0.0927796348639714
0.0009509509509509509,-0.09014621381519598
0.001001001001001001,-0.08756393819237593
0.001051051051051051,-0.08503194322894359
0.0011011011011011012,-0.0825493777562953
0.001151151151151151,-0.08011540399933083
0.0012012012012012011,-0.0777291973749749
0.0012512512512512512,-0.0753899462936385
0.0013013013013013013,-0.07309685196357804
0.0013513513513513514,-0.07084912819811068
0.0014014014014014013,-0.0686460012256455
0.0014514514514514514,-0.06648670950248987
0.0015015015015015015,-0.06437050352839167
0.0015515515515515516,-0.06229664566477811
0.0016016016016016017,-0.060264409955652624
0.0016516516516516516,-0.058273081951111985
0.0017017017017017016,-0.056321958533445904
0.0017517517517517517,-0.05441034774578244
0.0018018018018018018,-0.05253756862324263
0.001851851851851852,-0.05070295102656848
0.0019019019019019018,-0.048905835478188935
0.001951951951951952,-0.047145573000688966
0.002002002002002002,-0.04542152495764715
0.002052052052052052,-0.043733062896808075
0.002102102102102102,-0.042079568395556016
0.002152152152152152,-0.0404604329086568
0.0022022022022022024,-0.0388750576182355
0.0022522522522522522,-0.03732285328595778
0.002302302302302302,-0.03580324010738338
0.0023523523523523524,-0.03431564756846052
0.0024024024024024023,-0.032859514304130436
0.0024524524524524526,-0.031434287959011965
0.0025025025025025025,-0.03003942505013605
0.0025525525525525524,-0.02867439083170096
0.0026026026026026027,-0.027338659161818983
0.0026526526526526525,-0.026031712371226222
0.002702702702702703,-0.024753041133926984
0.0027527527527527527,-0.023502144339745287
0.0028028028028028026,-0.022278528968755672
0.002852852852852853,-0.02108170996756667
0.002902902902902903,-0.019911210127429985
0.002952952952952953,-0.018766559964149287
0.003003003003003003,-0.01764729759976257
0.003053053053053053,-0.016552968645972697
0.003103103103103103,-0.015483126089300773
0.003153153153153153,-0.01443733017793769
0.0032032032032032033,-0.01341514831026923
0.0032532532532532532,-0.012416154925050707
0.003303303303303303,-0.011439931393207302
0.0033533533533533534,-0.010486065911236643
0.0034034034034034033,-0.009554153396190581
0.0034534534534534536,-0.008643795382213238
0.0035035035035035035,-0.007754599918613012
0.0035535535535535533,-0.006886181469446286
0.0036036036036036037,-0.0060381608145910455
0.0036536536536536535,-0.005210164952288865
0.003703703703703704,-0.004401827003134057
0.0037537537537537537,-0.0036127861154890448
0.0038038038038038036,-0.0028426873723053528
0.003853853853853854,-0.0020911816993298615
0.003903903903903904,-0.0013579257746763088
0.003953953953953954,-0.0006425819397422577
0.004004004004004004,5.518188854793911e-5
0.004054054054054054,0.0007356923041933808
0.004104104104104104,0.0013992704972789977
0.004154154154154154,0.002046232337868728
0.004204204204204204,0.0026768884586478906
0.004254254254254255,0.003291544336332887
0.004304304304304304,0.003890500371866107
0.004354354354354354,0.004474051969413671
0.004404404404404405,0.005042489614183371
0.004454454454454454,0.005596098949079938
0.0045045045045045045,0.006135160850214536
0.004554554554554555,0.006659951501285086
0.004604604604604604,0.007170742466843873
0.0046546546546546545,0.007667800764468575
0.004704704704704705,0.008151388935852662
0.004754754754754755,0.008621765116830896
0.004804804804804805,0.009079183106355401
0.004854854854854855,0.009523892434437596
0.004904904904904905,0.009956138429071029
0.004954954954954955,0.01037616228214994
0.005005005005005005,0.01078420111439823
0.005055055055055055,0.01118048803932319
0.005105105105105105,0.011565252226208245
0.005155155155155155,0.011938718962158716
0.005205205205205205,0.012301109713214407
0.005255255255255256,0.012652642184542616
0.005305305305305305,0.012993530379725048
0.005355355355355355,0.013323984659151755
0.005405405405405406,0.013644211797535237
0.005455455455455455,0.013954415040557545
0.0055055055055055055,0.014254794160662975
0.005555555555555556,0.014545545512008947
0.005605605605605605,0.014826862084587302
0.0056556556556556555,0.0150989335575282
0.005705705705705706,0.015361946351598543
0.005755755755755756,0.015616083680906737
0.005805805805805806,0.015861525603825397
0.005855855855855856,0.016098449073143475
0.005905905905905906,0.016327027985459045
0.005955955955955956,0.01654743322982398
0.006006006006006006,0.016759832735651327
0.006056056056056056,0.016964391519896392
0.006106106106106106,0.017161271733522006
0.006156156156156156,0.017350632707258607
0.006206206206206206,0.017532630996669425
0.006256256256256257,0.017707420426530993
0.006306306306306306,0.017875152134539055
0.006356356356356356,0.01803597461434979
0.006406406406406407,0.018190033757966056
0.006456456456456456,0.01833747289747842
0.0065065065065065065,0.018478432846170307
0.006556556556556557,0.018613051938996785
0.006606606606606606,0.018741466072446086
0.0066566566566566565,0.018863808743793
0.006706706706706707,0.01898021108975314
0.006756756756756757,0.019090801924546805
0.006806806806806807,0.01919570777738131
0.006856856856856857,0.01929505292936018
0.006906906906906907,0.01938895944982777
0.006956956956956957,0.019477547232157656
0.007007007007007007,0.019560934028992942
0.007057057057057057,0.019639235486946648
0.007107107107107107,0.01971256518077008
0.007157157157157157,0.019781034646997153
0.007207207207207207,0.019844753417072307
0.007257257257257258,0.019903829049969728
0.007307307307307307,0.0199583671643114
0.007357357357357357,0.020008471469991337
0.007407407407407408,0.02005424379931341
0.007457457457457457,0.020095784137649918
0.0075075075075075074,0.02013319065362799
0.007557557557557558,0.02016655972885091
0.007607607607607607,0.020195985987161106
0.0076576576576576575,0.020221562323451788
0.007707707707707708,0.020243379932033803
