s,V_C
0.0,50.0
1.000100010001e-10,49.92602959432709
2.000200020002e-10,49.85213312947735
3.0003000300030004e-10,49.778310531539546
4.000400040004e-10,49.7045617266763
5.000500050005001e-10,49.63088664112405
6.000600060006001e-10,49.55728520119297
7.000700070007001e-10,49.48375733326688
8.000800080008e-10,49.410302963803204
9.000900090009001e-10,49.33692201933289
1.0001000100010002e-9,49.26361442646028
1.1001100110011002e-9,49.19038011186312
1.2001200120012002e-9,49.11721900229246
1.3001300130013001e-9,49.044131024572536
1.4001400140014001e-9,48.97111610560073
1.5001500150015e-9,48.89817417234754
1.6001600160016e-9,48.8253051518564
1.7001700170017003e-9,48.752508971243756
1.8001800180018002e-9,48.67978555769881
1.9001900190019002e-9,48.60713483848363
2.0002000200020004e-9,48.534556740932956
2.1002100210021e-9,48.46205119245414
2.2002200220022004e-9,48.389618120527146
2.3002300230023e-9,48.31725745270441
2.4002400240024003e-9,48.244969116610775
2.5002500250025e-9,48.172753039943444
2.6002600260026003e-9,48.10060915047188
2.7002700270027005e-9,48.02853737603776
2.8002800280028002e-9,47.9565376445549
2.9002900290029004e-9,47.88460988400914
3.000300030003e-9,47.812754022458336
3.1003100310031004e-9,47.74096998803225
3.2003200320032e-9,47.66925770893248
3.3003300330033003e-9,47.59761711343239
3.4003400340034005e-9,47.52604812987707
3.5003500350035003e-9,47.45455068668318
3.6003600360036005e-9,47.38312471233898
3.7003700370037002e-9,47.31177013540423
3.8003800380038004e-9,47.24048688451005
3.900390039003901e-9,47.16927488835893
4.000400040004001e-9,47.098134075724616
4.1004100410041e-9,47.02706437545207
4.2004200420042e-9,46.95606571645736
4.3004300430043005e-9,46.885138027727635
4.400440044004401e-9,46.81428123832099
4.5004500450045e-9,46.74349527736646
4.6004600460046e-9,46.67278007406395
4.7004700470047004e-9,46.602135557684065
4.800480048004801e-9,46.531561657568176
4.900490049004901e-9,46.46105830312824
5.000500050005e-9,46.39062542384683
5.1005100510051e-9,46.32026294927694
5.2005200520052005e-9,46.24997080904201
5.300530053005301e-9,46.179748932835864
5.400540054005401e-9,46.10959725042255
5.5005500550055e-9,46.03951569163635
5.6005600560056005e-9,45.9695041863817
5.700570057005701e-9,45.89956266463305
5.800580058005801e-9,45.829691056434925
5.9005900590059e-9,45.759889291901686
6.000600060006e-9,45.69015730121764
6.1006100610061006e-9,45.62049501463683
6.200620062006201e-9,45.55090236248303
